,date_jour,code_site,number_of_call_drop_3g,techno
356,20230309,OCI0379,189,3G
357,20230309,OCI0380,115,3G
358,20230309,OCI0381,615,3G
359,20230309,OCI0382,53,3G
360,20230309,OCI0383,98,3G
361,20230309,OCI0384,79,3G
362,20230309,OCI0385,137,3G
363,20230309,OCI0386,321,3G
364,20230309,OCI0387,46,3G
365,20230309,OCI0388,92,3G
366,20230309,OCI0389,203,3G
367,20230309,OCI0390,131,3G
368,20230309,OCI0391,45,3G
369,20230309,OCI0392,78,3G
370,20230309,OCI0393,104,3G
371,20230309,OCI0394,216,3G
372,20230309,OCI0395,189,3G
373,20230309,OCI0396,139,3G
374,20230309,OCI0397,98,3G
375,20230309,OCI0398,33,3G
376,20230309,OCI0399,54,3G
377,20230309,OCI0400,13,3G
378,20230309,OCI0401,47,3G
379,20230309,OCI0402,160,3G
380,20230309,OCI0403,129,3G
381,20230309,OCI0404,415,3G
382,20230309,OCI0405,298,3G
383,20230309,OCI0406,112,3G
384,20230309,OCI0407,102,3G
385,20230309,OCI0408,315,3G
386,20230309,OCI0409,87,3G
387,20230309,OCI0410,17,3G
388,20230309,OCI0411,16,3G
389,20230309,OCI0412,175,3G
390,20230309,OCI0413,42,3G
391,20230309,OCI0414,260,3G
392,20230309,OCI0415,49,3G
393,20230309,OCI0416,282,3G
394,20230309,OCI0417,64,3G
395,20230309,OCI0418,166,3G
396,20230309,OCI0419,193,3G
397,20230309,OCI0420,363,3G
398,20230309,OCI0421,285,3G
399,20230309,OCI0422,281,3G
400,20230309,OCI0423,100,3G
401,20230309,OCI0424,68,3G
402,20230309,OCI0426,107,3G
403,20230309,OCI0427,30,3G
404,20230309,OCI0428,52,3G
405,20230309,OCI0429,67,3G
406,20230309,OCI0430,51,3G
407,20230309,OCI0431,86,3G
408,20230309,OCI0432,62,3G
409,20230309,OCI0433,123,3G
410,20230309,OCI0434,110,3G
411,20230309,OCI0435,310,3G
412,20230309,OCI0437,271,3G
413,20230309,OCI0438,867,3G
414,20230309,OCI0439,68,3G
415,20230309,OCI0440,78,3G
416,20230309,OCI0441,115,3G
417,20230309,OCI0442,157,3G
418,20230309,OCI0443,216,3G
419,20230309,OCI0444,101,3G
420,20230309,OCI0445,106,3G
421,20230309,OCI0446,177,3G
422,20230309,OCI0447,130,3G
423,20230309,OCI0448,307,3G
424,20230309,OCI0449,76,3G
425,20230309,OCI0450,89,3G
426,20230309,OCI0451,203,3G
427,20230309,OCI0452,63,3G
428,20230309,OCI0453,54,3G
429,20230309,OCI0454,231,3G
430,20230309,OCI0455,636,3G
431,20230309,OCI0456,71,3G
432,20230309,OCI0457,171,3G
433,20230309,OCI0458,73,3G
434,20230309,OCI0459,158,3G
435,20230309,OCI0460,126,3G
436,20230309,OCI0461,96,3G
437,20230309,OCI0463,319,3G
438,20230309,OCI0464,194,3G
439,20230309,OCI0465,30,3G
440,20230309,OCI0466,28,3G
441,20230309,OCI0467,126,3G
442,20230309,OCI0468,144,3G
443,20230309,OCI0469,736,3G
444,20230309,OCI0470,279,3G
445,20230309,OCI0472,87,3G
446,20230309,OCI0473,217,3G
447,20230309,OCI0474,119,3G
448,20230309,OCI0475,136,3G
449,20230309,OCI0476,105,3G
450,20230309,OCI0477,96,3G
451,20230309,OCI0478,6,3G
452,20230309,OCI0479,209,3G
453,20230309,OCI0480,204,3G
454,20230309,OCI0481,65,3G
455,20230309,OCI0482,66,3G
456,20230309,OCI0483,25,3G
457,20230309,OCI0484,84,3G
458,20230309,OCI0485,26,3G
459,20230309,OCI0486,72,3G
460,20230309,OCI0487,51,3G
461,20230309,OCI0488,20,3G
462,20230309,OCI0489,30,3G
463,20230309,OCI0490,109,3G
464,20230309,OCI0491,83,3G
