,date_jour,code_site,trafic_voix,trafic_data,techno
266,20230223,OCI0091,,132.901388,4G
267,20230223,OCI0092,2585.7,3.33303125,2G
268,20230223,OCI0092,957.61,62.78,3G
269,20230223,OCI0092,,581.701026,4G
270,20230223,OCI0093,544.95,0.77137255,2G
271,20230223,OCI0093,340.56,42.8,3G
272,20230223,OCI0093,,60.535582,4G
273,20230223,OCI0094,665.42,0.4348296,2G
274,20230223,OCI0094,1225.13,229.33,3G
275,20230223,OCI0094,,1084.407974,4G
276,20230223,OCI0095,300.56,0.24754146,2G
277,20230223,OCI0095,1715.98,135.95,3G
278,20230223,OCI0095,,1063.14684,4G
279,20230223,OCI0096,450.42,0.90065176,2G
280,20230223,OCI0096,1474.24,319.75,3G
281,20230223,OCI0096,,1025.888409,4G
282,20230223,OCI0097,539.95,0.29105918,2G
283,20230223,OCI0097,189.43,13.98,3G
284,20230223,OCI0097,,142.74779,4G
285,20230223,OCI0098,553.58,0.7476996,2G
286,20230223,OCI0098,857.55,95.14,3G
287,20230223,OCI0098,,593.532715,4G
288,20230223,OCI0099,145.95,0.23598317,2G
289,20230223,OCI0099,819.26,36.9,3G
290,20230223,OCI0099,,495.917699,4G
291,20230223,OCI0100,420.94,0.75016774,2G
292,20230223,OCI0100,631.45,97.28,3G
293,20230223,OCI0100,,252.056369,4G
294,20230223,OCI0101,766.04,1.26561728,2G
295,20230223,OCI0101,1565.27,189.58,3G
296,20230223,OCI0101,,823.166908,4G
297,20230223,OCI0102,618.54,1.01045703,2G
298,20230223,OCI0102,1300.52,129.8,3G
299,20230223,OCI0102,,884.13428,4G
300,20230223,OCI0104,564.95,0.33252533,2G
301,20230223,OCI0104,532.1,120.7,3G
302,20230223,OCI0104,,173.358326,4G
303,20230223,OCI0105,774.75,1.80906159,2G
304,20230223,OCI0105,1429.37,407.8,3G
305,20230223,OCI0105,,1673.026044,4G
306,20230223,OCI0106,272.96,0.39321751,2G
307,20230223,OCI0106,250.09,66.62,3G
308,20230223,OCI0106,,126.553972,4G
309,20230223,OCI0107,100.69,0.18716541,2G
310,20230223,OCI0107,58.65,4.94,3G
311,20230223,OCI0107,,14.669334,4G
312,20230223,OCI0108,366.87,0.20011108,2G
313,20230223,OCI0108,212.92,34.28,3G
314,20230223,OCI0108,,99.184661,4G
315,20230223,OCI0109,286.82,0.2510368,2G
316,20230223,OCI0109,227.08,51.61,3G
317,20230223,OCI0109,,96.223379,4G
318,20230223,OCI0110,195.25,1.24083699,2G
319,20230223,OCI0110,241.82,26.69,3G
320,20230223,OCI0110,,124.469363,4G
321,20230223,OCI0111,51.09,0.06701507,2G
322,20230223,OCI0111,354.46,21.18,3G
323,20230223,OCI0111,,113.646796,4G
324,20230223,OCI0112,1235.12,0.97794309,2G
325,20230223,OCI0112,270.14,24.84,3G
326,20230223,OCI0112,,22.557983,4G
327,20230223,OCI0113,599.35,0.07793729,2G
328,20230223,OCI0113,689.84,83.96,3G
329,20230223,OCI0113,,207.831551,4G
330,20230223,OCI0114,358.78,0.47110017,2G
331,20230223,OCI0114,1398.77,108.01,3G
332,20230223,OCI0114,,636.463363,4G
333,20230223,OCI0115,327.97,0.34726232,2G
334,20230223,OCI0115,1787.13,214.24,3G
335,20230223,OCI0115,,1053.65092,4G
336,20230223,OCI0116,1487.34,0.924632510000001,2G
337,20230223,OCI0116,274.46,52.16,3G
338,20230223,OCI0116,,43.26232,4G
339,20230223,OCI0117,417.83,1.24215967,2G
340,20230223,OCI0117,266.08,51.86,3G
341,20230223,OCI0118,798.999999999999,0.31506385,2G
342,20230223,OCI0118,288.36,27.76,3G
343,20230223,OCI0118,,47.769503,4G
344,20230223,OCI0119,1297.65,0.81026649,2G
345,20230223,OCI0119,483.62,44.57,3G
346,20230223,OCI0119,,139.839802,4G
347,20230223,OCI0121,27.19,0.01657094,2G
348,20230223,OCI0121,70.84,26.15,3G
349,20230223,OCI0121,,112.072966,4G
350,20230223,OCI0122,500.55,0.52822103,2G
351,20230223,OCI0122,282.73,25.42,3G
352,20230223,OCI0122,,139.360097,4G
353,20230223,OCI0123,560.26,0.96128505,2G
354,20230223,OCI0123,1296.17,226.01,3G
355,20230223,OCI0123,,248.816709,4G
356,20230223,OCI0124,126.74,0.15128669,2G
357,20230223,OCI0124,1223.56,66.85,3G
358,20230223,OCI0124,,492.126076,4G
359,20230223,OCI0125,52.06,0.03381518,2G
360,20230223,OCI0125,250.52,22.77,3G
361,20230223,OCI0125,,227.568255,4G
362,20230223,OCI0127,757.25,0.56121688,2G
363,20230223,OCI0127,689.42,70.16,3G
364,20230223,OCI0127,,174.779587,4G
365,20230223,OCI0128,328.75,0.32395366,2G
366,20230223,OCI0128,245.36,67.19,3G
367,20230223,OCI0128,,46.942654,4G
368,20230223,OCI0129,932.659999999999,1.35791,2G
369,20230223,OCI0129,1376.11,263.23,3G
370,20230223,OCI0129,,809.261047,4G
